t_start,t_end,n_events,n_above_mc,b,b_drift_per_day,b_drift_ok,benioff_total_log10,benioff_curv,target_M,target_time,window_kind,region
2021-04-06 17:27:24.704940288+00:00,2021-05-06 17:27:24.704940288+00:00,118,2,,,False,6.46865070324994,-6.006602779192315e-08,,,null_A,California
2005-10-30 04:16:01.549248192+00:00,2005-11-29 04:16:01.549248192+00:00,36,4,,,False,6.293858421914631,8.176725241275669e-08,,,null_A,California
2013-11-17 13:05:58.778298752+00:00,2013-12-17 13:05:58.778298752+00:00,8,2,,,False,5.77921063169877,1.1028093067086431e-07,,,null_A,California
2019-07-14 04:26:02.790913792+00:00,2019-08-13 04:26:02.790913792+00:00,144,16,,,False,6.928056228437075,-2.2690876176744723e-06,,,null_A,California
2017-12-31 03:19:11.948796160+00:00,2018-01-30 03:19:11.948796160+00:00,22,3,,,False,6.034521820033147,4.135270916003376e-08,,,null_A,California
2011-07-05 13:40:33.649566400+00:00,2011-08-04 13:40:33.649566400+00:00,44,5,,,False,6.377250638237705,-1.270922833414389e-07,,,null_A,California
2003-10-18 07:29:01.693161152+00:00,2003-11-17 07:29:01.693161152+00:00,74,9,,,False,6.540438455056981,-1.8039034204123358e-07,,,null_A,California
2017-05-08 03:58:22.792200448+00:00,2017-06-07 03:58:22.792200448+00:00,12,0,,,False,5.541416601053174,3.1318675362105327e-09,,,null_A,California
2011-02-12 11:57:25.352882048+00:00,2011-03-14 11:57:25.352882048+00:00,75,14,,,False,6.723797438278977,-1.2133203464807103e-06,,,null_A,California
2009-06-29 17:22:29.179200192+00:00,2009-07-29 17:22:29.179200192+00:00,45,7,,,False,6.440222546876482,-2.461066991281919e-07,,,null_A,California
2015-09-15 04:13:07.974651904+00:00,2015-10-15 04:13:07.974651904+00:00,20,0,,,False,5.823335256481553,-3.6737963753472586e-08,,,null_A,California
2002-12-10 02:26:12.601714592+00:00,2003-01-09 02:26:12.601714592+00:00,48,10,,,False,6.517877645507294,7.470076981643951e-10,,,null_A,California
